City,Countries,Country,Date,Observation,Opponent,Round,Stadium,Team,Time,Year,Game #,Opponent G,Team G
Montevideo,France,Uruguay,13-07-1930,,Mexico,Group 1,Pocitos,France, 15:00,1930,1,1,4
Montevideo,France,Uruguay,13-07-1930,,France,Group 1,Pocitos,Mexico, 15:00,1930,1,4,1
Montevideo,USA,Uruguay,13-07-1930,,Belgium,Group 4,Parque Central,USA, 15:00,1930,2,0,3
Montevideo,USA,Uruguay,13-07-1930,,USA,Group 4,Parque Central,Belgium, 15:00,1930,2,3,0
Montevideo,Yugoslavia,Uruguay,14-07-1930,,Brazil,Group 2,Parque Central,Yugoslavia, 12:45,1930,3,1,2
Montevideo,Yugoslavia,Uruguay,14-07-1930,,Yugoslavia,Group 2,Parque Central,Brazil, 12:45,1930,3,2,1
Montevideo,Romania,Uruguay,14-07-1930,,Peru,Group 3,Pocitos,Romania, 14:50,1930,4,1,3
Montevideo,Romania,Uruguay,14-07-1930,,Romania,Group 3,Pocitos,Peru, 14:50,1930,4,3,1
Montevideo,Argentina,Uruguay,15-07-1930,,France,Group 1,Parque Central,Argentina, 16:00,1930,5,0,1
Montevideo,Argentina,Uruguay,15-07-1930,,Argentina,Group 1,Parque Central,France, 16:00,1930,5,1,0
Montevideo,Chile,Uruguay,16-07-1930,,Mexico,Group 1,Parque Central,Chile, 14:45,1930,6,0,3
Montevideo,Chile,Uruguay,16-07-1930,,Chile,Group 1,Parque Central,Mexico, 14:45,1930,6,3,0
Montevideo,Yugoslavia,Uruguay,17-07-1930,,Bolivia,Group 2,Parque Central,Yugoslavia, 12:45,1930,7,0,4
Montevideo,Yugoslavia,Uruguay,17-07-1930,,Yugoslavia,Group 2,Parque Central,Bolivia, 12:45,1930,7,4,0
Montevideo,USA,Uruguay,17-07-1930,,Paraguay,Group 4,Parque Central,USA, 14:45,1930,8,0,3
Montevideo,USA,Uruguay,17-07-1930,,USA,Group 4,Parque Central,Paraguay, 14:45,1930,8,3,0
Montevideo,Uruguay,Uruguay,18-07-1930,,Peru,Group 3,Estadio Centenario,Uruguay, 14:30,1930,9,0,1
Montevideo,Uruguay,Uruguay,18-07-1930,,Uruguay,Group 3,Estadio Centenario,Peru, 14:30,1930,9,1,0
Montevideo,Chile,Uruguay,19-07-1930,,France,Group 1,Estadio Centenario,Chile, 12:50,1930,10,0,1
Montevideo,Chile,Uruguay,19-07-1930,,Chile,Group 1,Estadio Centenario,France, 12:50,1930,10,1,0
Montevideo,Argentina,Uruguay,19-07-1930,,Mexico,Group 1,Estadio Centenario,Argentina, 15:00,1930,11,3,6
Montevideo,Argentina,Uruguay,19-07-1930,,Argentina,Group 1,Estadio Centenario,Mexico, 15:00,1930,11,6,3
Montevideo,Brazil,Uruguay,20-07-1930,,Bolivia,Group 2,Estadio Centenario,Brazil, 13:00,1930,12,0,4
Montevideo,Brazil,Uruguay,20-07-1930,,Brazil,Group 2,Estadio Centenario,Bolivia, 13:00,1930,12,4,0
Montevideo,Paraguay,Uruguay,20-07-1930,,Belgium,Group 4,Estadio Centenario,Paraguay, 15:00,1930,13,0,1
Montevideo,Paraguay,Uruguay,20-07-1930,,Paraguay,Group 4,Estadio Centenario,Belgium, 15:00,1930,13,1,0
Montevideo,Uruguay,Uruguay,21-07-1930,,Romania,Group 3,Estadio Centenario,Uruguay, 14:50,1930,14,0,4
Montevideo,Uruguay,Uruguay,21-07-1930,,Uruguay,Group 3,Estadio Centenario,Romania, 14:50,1930,14,4,0
Montevideo,Argentina,Uruguay,22-07-1930,,Chile,Group 1,Estadio Centenario,Argentina, 14:45,1930,15,1,3
Montevideo,Argentina,Uruguay,22-07-1930,,Argentina,Group 1,Estadio Centenario,Chile, 14:45,1930,15,3,1
Montevideo,Argentina,Uruguay,26-07-1930,,USA,Semi-finals,Estadio Centenario,Argentina, 14:45,1930,16,1,6
Montevideo,Argentina,Uruguay,26-07-1930,,Argentina,Semi-finals,Estadio Centenario,USA, 14:45,1930,16,6,1
Montevideo,Uruguay,Uruguay,27-07-1930,,Yugoslavia,Semi-finals,Estadio Centenario,Uruguay, 14:45,1930,17,1,6
Montevideo,Uruguay,Uruguay,27-07-1930,,Uruguay,Semi-finals,Estadio Centenario,Yugoslavia, 14:45,1930,17,6,1
Montevideo,Uruguay,Uruguay,30-07-1930,,Argentina,Final,Estadio Centenario,Uruguay, 14:15,1930,18,2,4
Montevideo,Uruguay,Uruguay,30-07-1930,,Uruguay,Final,Estadio Centenario,Argentina, 14:15,1930,18,4,2
Turin,Austria,Italy,27-05-1934,Austria win after extra time,France,Preliminary round,Stadio Benito Mussolini,Austria, 16:30,1934,19,2,3
Turin,Austria,Italy,27-05-1934,Austria win after extra time,Austria,Preliminary round,Stadio Benito Mussolini,France, 16:30,1934,19,3,2
Naples,Hungary,Italy,27-05-1934,,Egypt,Preliminary round,Giorgio Ascarelli,Hungary, 16:30,1934,20,2,4
Naples,Hungary,Italy,27-05-1934,,Hungary,Preliminary round,Giorgio Ascarelli,Egypt, 16:30,1934,20,4,2
Milan,Switzerland,Italy,27-05-1934,,Netherlands,Preliminary round,San Siro,Switzerland, 16:30,1934,21,2,3
Milan,Switzerland,Italy,27-05-1934,,Switzerland,Preliminary round,San Siro,Netherlands, 16:30,1934,21,3,2
Bologna,Sweden,Italy,27-05-1934,,Argentina,Preliminary round,Littorale,Sweden, 16:30,1934,22,2,3
Bologna,Sweden,Italy,27-05-1934,,Sweden,Preliminary round,Littorale,Argentina, 16:30,1934,22,3,2
Florence,Germany,Italy,27-05-1934,,Belgium,Preliminary round,Giovanni Berta,Germany, 16:30,1934,23,2,5
Florence,Germany,Italy,27-05-1934,,Germany,Preliminary round,Giovanni Berta,Belgium, 16:30,1934,23,5,2
Genoa,Spain,Italy,27-05-1934,,Brazil,Preliminary round,Luigi Ferraris,Spain, 16:30,1934,24,1,3
Genoa,Spain,Italy,27-05-1934,,Spain,Preliminary round,Luigi Ferraris,Brazil, 16:30,1934,24,3,1
Rome,Italy,Italy,27-05-1934,,USA,Preliminary round,Nazionale PNF,Italy, 16:30,1934,25,1,7
Rome,Italy,Italy,27-05-1934,,Italy,Preliminary round,Nazionale PNF,USA, 16:30,1934,25,7,1
Trieste,Czechoslovakia,Italy,27-05-1934,,Romania,Preliminary round,Littorio,Czechoslovakia, 16:30,1934,26,1,2
Trieste,Czechoslovakia,Italy,27-05-1934,,Czechoslovakia,Preliminary round,Littorio,Romania, 16:30,1934,26,2,1
Turin,Czechoslovakia,Italy,31-05-1934,,Switzerland,Quarter-finals,Stadio Benito Mussolini,Czechoslovakia, 16:30,1934,27,2,3
Turin,Czechoslovakia,Italy,31-05-1934,,Czechoslovakia,Quarter-finals,Stadio Benito Mussolini,Switzerland, 16:30,1934,27,3,2
Milan,Germany,Italy,31-05-1934,,Sweden,Quarter-finals,San Siro,Germany, 16:30,1934,28,1,2
Milan,Germany,Italy,31-05-1934,,Germany,Quarter-finals,San Siro,Sweden, 16:30,1934,28,2,1
Florence,Spain,Italy,31-05-1934,,Spain,Quarter-finals,Giovanni Berta,Italy, 16:30,1934,29,1,1
Florence,Italy,Italy,31-05-1934,,Italy,Quarter-finals,Giovanni Berta,Spain, 16:30,1934,29,1,1
Bologna,Austria,Italy,31-05-1934,,Hungary,Quarter-finals,Littorale,Austria, 16:30,1934,30,1,2
Bologna,Austria,Italy,31-05-1934,,Austria,Quarter-finals,Littorale,Hungary, 16:30,1934,30,2,1
Florence,Italy,Italy,01-06-1934,,Spain,Quarter-finals,Giovanni Berta,Italy, 16:30,1934,31,0,1
Florence,Italy,Italy,01-06-1934,,Italy,Quarter-finals,Giovanni Berta,Spain, 16:30,1934,31,1,0
Milan,Italy,Italy,03-06-1934,,Austria,Semi-finals,San Siro,Italy, 16:30,1934,32,0,1
Milan,Italy,Italy,03-06-1934,,Italy,Semi-finals,San Siro,Austria, 16:30,1934,32,1,0
Rome,Czechoslovakia,Italy,03-06-1934,,Germany,Semi-finals,Nazionale PNF,Czechoslovakia, 16:30,1934,33,1,3
Rome,Czechoslovakia,Italy,03-06-1934,,Czechoslovakia,Semi-finals,Nazionale PNF,Germany, 16:30,1934,33,3,1
Naples,Germany,Italy,07-06-1934,,Austria,Match for third place,Giorgio Ascarelli,Germany, 18:00,1934,34,2,3
Naples,Germany,Italy,07-06-1934,,Germany,Match for third place,Giorgio Ascarelli,Austria, 18:00,1934,34,3,2
Rome,Italy,Italy,10-06-1934,Italy win after extra time,Czechoslovakia,Final,Nazionale PNF,Italy, 17:30,1934,35,1,2
Rome,Italy,Italy,10-06-1934,Italy win after extra time,Italy,Final,Nazionale PNF,Czechoslovakia, 17:30,1934,35,2,1
Paris,Germany,France,04-06-1938,,Germany,First round,Parc des Princes,Switzerland, 17:00,1938,36,1,1
Paris,Switzerland,France,04-06-1938,,Switzerland,First round,Parc des Princes,Germany, 17:00,1938,36,1,1
Reims,Hungary,France,05-06-1938,,Dutch East Indies,First round,Velodrome Municipale,Hungary, 17:00,1938,37,0,6
Reims,Hungary,France,05-06-1938,,Hungary,First round,Velodrome Municipale,Dutch East Indies, 17:00,1938,37,6,0
Colombes,France,France,05-06-1938,,Belgium,First round,Stade Olympique,France, 17:00,1938,38,1,3
Colombes,France,France,05-06-1938,,France,First round,Stade Olympique,Belgium, 17:00,1938,38,3,1
